FirstName|Surname|DateOfBirth|Address|Email|PhoneNumber|City|Country
Beau|Farley|1997-08-17|3365 Lacinia Rd.|eu.nulla@vitaerisusDuis.co.uk|0845 46 41|Filot|Mauritius
Jack|Bryant|1996-07-28|543-1373 Non, Road|Curabitur.ut.odio@quam.ca|0800 577 4308|Henderson|Svalbard and Jan Mayen Islands
Whilemina|Salas|1968-01-09|Ap #796-7469 Eu Rd.|egestas.lacinia@litoratorquent.edu|0337 554 2220|Sorgà|Italy
Linus|Garza|1983-05-24|5566 Etiam Ave|egestas@Nuncullamcorper.edu|(0114) 601 7435|Gongju|Cocos (Keeling) Islands
Brody|Perry|1988-06-24|Ap #482-602 Iaculis Rd.|lorem@inhendrerit.net|(0118) 160 1013|Huechuraba|El Salvador
Meghan|Pate|1978-02-08|Ap #801-1952 Vitae St.|ac@ametluctus.ca|070 4165 6030|Gorakhpur|Reunion
Xanthus|Dotson|1962-11-05|721 Leo. Av.|tincidunt.orci.quis@eleifend.co.uk|07372 330215|Mellery|Saint Martin
Alma|Hopper|1998-05-06|P.O. Box 538, 3575 Pharetra. Ave|Fusce@disparturient.co.uk|(025) 7858 5713|Aieta|Samoa
Aurelia|Guthrie|1983-08-25|3404 Vestibulum Av.|tincidunt@magna.com|0866 825 5729|West Valley City|Pitcairn Islands
Kaden|Tanner|1987-04-28|Ap #628-5396 At, St.|sed@pellentesqueeget.org|0889 111 8298|Pichilemu|India
Lynn|Holt|1985-02-25|677-5979 Integer Rd.|eu.odio@euismod.edu|076 1401 7407|Arrah|Congo (Brazzaville)
Doris|Carroll|1980-01-16|1220 Ac Av.|quam@Suspendissetristique.ca|(01450) 360640|Olathe|Brunei
Danielle|Bray|1967-04-08|1530 Lectus, Rd.|dis.parturient.montes@viverraDonec.ca|056 9016 5361|Harrisburg|Uruguay
Yeo|Cummings|1982-04-27|Ap #970-7204 Nullam St.|luctus@metuseu.org|(015323) 62676|Kelowna|Jersey
Ciara|Collins|1986-12-06|4659 In Rd.|Integer.id@non.org|(01969) 77678|Alphen aan den Rijn|Timor-Leste
Roary|Robertson|1969-09-06|P.O. Box 476, 6755 Sed Ave|tincidunt@Nullam.com|0500 297008|Tongyeong|Honduras
